userId,movieId,rating
2043,356,4
712,597,5
2043,1033,4
712,7338,5
712,3600,5
712,196,5
712,484,4
712,951,3
712,1124,3
712,854,3
712,1389,4
712,1236,5
712,4369,4
712,1645,4
712,4473,3
712,217,5
712,3090,4
712,255,5
712,903,4
712,8688,4
712,29,5
712,125,5
712,154,5
712,248,5
712,530,4
712,770,5
712,773,4
712,43,5
712,916,4
712,426,5
712,233,5
712,646,5
712,3595,5
712,258,5
712,225,5
712,131,5
712,118,5
712,1272,4
712,116,5
712,1178,5
712,7,5
712,19,5
712,155,5
712,161,5
712,574,4
712,9391,4
712,42,4
712,5237,5
712,317,5
712,119,5
712,10,5
712,76,5
712,171,5
712,230,5
712,741,4
712,68,5
712,4238,4
712,5808,5
712,89,5
712,326,5
712,79,5
712,341,5
712,795,4
712,570,5
712,2193,3
712,1421,3
712,3476,3
712,168,5
712,72,5
712,176,5
712,243,5
712,232,5
712,237,5
712,349,5
712,306,5
712,304,4
712,179,5
712,2252,4
712,3966,3
712,194,5
712,38,5
712,178,4
712,407,4
712,1465,5
712,3613,4
712,5385,4
712,6777,4
712,284,5
712,1255,4
712,2615,5
712,372,5
712,943,5
2043,1163,4
712,1214,5
2043,1225,3
2043,1289,4
712,173,5
2043,1233,5
712,130,4
2043,1827,3
712,268,5
712,1005,5
712,1928,5
712,249,5
712,587,5
712,557,5
712,1090,5
712,1282,4
712,430,5
712,4388,5
712,54,5
712,337,5
712,350,5
2035,1707,5
2035,2961,5
2035,6813,5
712,432,5
712,1999,5
712,6787,5
712,213,5
712,257,5
2035,1921,5
2035,116,5
2035,2985,4
2061,3625,2
2061,8891,3
2061,37,4
2061,25,4
1307,234,5
1307,1324,4
2035,5972,5
2035,1211,3
942,3338,4
2035,6006,5
942,662,5
942,3675,3
1989,935,5
1989,375,5
2018,287,4
2018,495,4
2018,2860,4
1619,5395,4
2001,3078,5
2001,608,5
2001,3068,5
2001,2552,4
2001,3455,4
2001,5836,5
2001,272,4
2072,4,5
2074,287,3
2074,315,4
2074,26,4
2074,9,3
2074,45,3
2074,142,5
2074,130,4
2074,401,4
2074,65,5
2074,4,3
2074,8,5
2074,170,4
2074,123,4
2074,86,4
2074,227,2
2074,281,3
2074,343,5
2074,596,3
2074,1037,3
2074,1057,3
2074,833,1
2074,1573,3
2074,1245,3
2074,1388,3
2074,1733,3
2074,1301,4
2074,1407,4
2074,963,5
2074,2573,3
2074,3273,4
2074,1592,3
2074,6975,2
2074,8199,4
2074,103,5
2074,932,5
2074,2220,5
2074,410,4
2074,113,5
2074,60,4
2074,28,3
2074,32,3
221,2844,5
1509,256,3
221,2,5
1725,955,4
1725,1063,3
1509,94,4
1509,574,4
1725,1436,3
1509,87,2
1509,779,5
1509,6039,5
1509,595,2
1509,127,4
1297,1146,3
1509,6612,3
1509,114,3
1509,119,3
1509,1221,3
1509,42,5
1509,138,1
1509,130,1
1509,241,3
1509,1597,4
2075,344,4
1509,133,5
2075,766,4
2075,1895,4
2075,2353,5
2075,1572,5
2075,2937,5
2075,3086,5
2075,3395,5
2075,3660,5
2075,3396,5
2075,3082,5
2075,3055,5
2075,5923,5
2075,1090,5
2075,1544,5
2075,5019,5
1509,2190,4
1509,58,1
2075,828,3
2075,1217,5
2075,205,5
2075,2347,5
2075,1633,5
2075,1533,4
2075,898,3
2075,696,3
2075,1993,2
2075,3128,2
2075,2604,2
2075,3477,4
2075,3340,3
2075,6665,2
2075,4579,4
2075,7260,2
2075,5290,2
2075,7214,5
2075,9503,2
1509,2671,5
2075,484,5
